               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10258,            0.019872,                   0,           0.0025616,             0.75362,           0.0065767,           0.0014802,            0.074995,            0.013218,                   0,            0.070714,            0.003254,            0.003254
                   1,            0.075607,            0.017846,                   0,             0.66748,             0.50426,              0.6134,             0.21211,            0.065181,           0.0096704,                   0,            0.040649,           0.0065221,           0.0065221
                   2,            0.062791,            0.017308,                   0,             0.68253,             0.64251,             0.73421,             0.37014,            0.062738,           0.0084791,                   0,            0.010518,           0.0097242,           0.0097242
                   3,            0.054136,            0.016186,                   0,             0.80887,             0.67467,             0.75897,             0.24862,            0.051601,           0.0083277,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.047699,            0.014561,                   0,             0.88471,             0.85264,             0.91935,             0.40462,            0.038949,           0.0075264,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.044613,            0.012003,                   0,             0.80113,             0.93237,             0.89358,             0.49504,            0.035264,           0.0063973,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.042111,            0.010721,                   0,             0.90995,             0.88406,             0.91439,             0.32538,            0.042873,           0.0054359,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.039371,           0.0092543,                   0,             0.92311,             0.98591,             0.98022,             0.48415,            0.035491,           0.0050401,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.039101,            0.008851,                   0,             0.94721,             0.95358,             0.96922,             0.55498,             0.03176,           0.0046627,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.038141,           0.0083392,                   0,             0.96847,              0.8744,              0.9684,             0.48199,            0.036987,           0.0046672,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.035671,           0.0073571,                   0,             0.97243,             0.94686,             0.98453,             0.55571,            0.032301,           0.0042384,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.035072,           0.0071088,                   0,              0.9573,             0.97478,              0.9896,             0.58626,             0.03137,           0.0042069,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.033954,           0.0073139,                   0,             0.96022,             0.95169,             0.98781,             0.56902,            0.032336,           0.0041816,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.033488,           0.0072281,                   0,              0.9803,             0.95652,             0.99095,             0.61441,            0.028056,           0.0040021,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.03434,           0.0069902,                   0,              0.9894,             0.97101,              0.9901,             0.54339,            0.030138,           0.0039278,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.032319,           0.0070006,                   0,             0.98529,             0.97078,             0.99014,             0.57368,            0.028676,           0.0039062,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.031281,           0.0063283,                   0,             0.99015,             0.97105,             0.99342,             0.64021,            0.027137,           0.0037484,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.029728,           0.0065671,                   0,             0.98914,             0.96618,             0.98983,             0.60603,             0.02832,           0.0037776,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.030477,           0.0064703,                   0,             0.98727,             0.97585,             0.99322,             0.60762,            0.029436,           0.0037103,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.029478,           0.0064096,                   0,             0.98516,             0.96218,             0.99283,             0.62543,            0.028894,           0.0037213,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.029098,           0.0064055,                   0,             0.96619,             0.96634,             0.98614,              0.6198,            0.027157,           0.0038881,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.029336,           0.0064917,                   0,               0.992,             0.97585,             0.99088,              0.6185,            0.027884,           0.0036562,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.028729,           0.0065565,                   0,             0.98535,             0.97496,             0.98798,             0.63912,            0.025592,           0.0036374,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.027943,           0.0063094,                   0,             0.97726,             0.97585,             0.99163,             0.63741,            0.026019,           0.0036595,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.028275,           0.0060562,                   0,              0.9902,             0.97576,              0.9893,             0.62918,            0.026078,            0.003622,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.02832,           0.0061649,                   0,              0.9855,             0.98514,             0.99263,             0.59866,            0.028758,           0.0037157,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.026907,           0.0057907,                   0,             0.98946,             0.97585,             0.99011,             0.63438,            0.026653,           0.0036878,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.026433,           0.0058717,                   0,              0.9647,             0.96618,             0.98763,             0.59566,            0.028372,           0.0035769,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.027044,           0.0057744,                   0,             0.97611,             0.96135,             0.99176,             0.63377,            0.026865,           0.0036734,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.025949,           0.0060786,                   0,             0.98621,             0.97101,              0.9909,             0.58871,            0.029371,           0.0036779,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.026452,           0.0058521,                   0,             0.97939,             0.97101,              0.9898,              0.6113,            0.025933,           0.0036406,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.026746,           0.0059383,                   0,             0.97445,             0.97585,              0.9902,             0.63081,            0.025665,           0.0036269,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.02593,           0.0057759,                   0,             0.97138,             0.98362,             0.99356,             0.64095,            0.025645,           0.0035247,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.027017,           0.0058915,                   0,             0.97155,             0.98978,             0.99387,             0.65668,            0.025106,            0.003587,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.025659,            0.005813,                   0,             0.98076,             0.98496,             0.99332,             0.63346,            0.026156,           0.0035903,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.025593,           0.0056145,                   0,             0.98012,             0.97585,             0.98633,             0.64264,             0.02523,           0.0036151,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.025383,           0.0058518,                   0,             0.98455,             0.98551,             0.99182,             0.61758,            0.026501,           0.0036105,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.024189,           0.0056225,                   0,             0.97896,             0.97585,             0.98621,             0.62804,            0.025194,           0.0035066,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.024466,           0.0055967,                   0,             0.98934,             0.97585,             0.99078,              0.6502,             0.02527,           0.0035232,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.024043,           0.0055863,                   0,             0.98918,             0.98068,             0.99296,             0.65275,            0.025475,           0.0035434,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.024405,           0.0057192,                   0,             0.98316,             0.96618,             0.99308,             0.63033,            0.026063,           0.0037413,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.024458,           0.0056476,                   0,             0.97586,             0.97627,             0.99292,             0.64669,            0.025084,           0.0036283,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.024379,           0.0058252,                   0,             0.98016,             0.98551,             0.99257,             0.65268,            0.025123,           0.0036193,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.023489,           0.0056457,                   0,             0.98701,             0.98068,             0.99376,             0.63477,            0.025437,           0.0035093,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.023235,           0.0054888,                   0,             0.97855,             0.97585,             0.98888,              0.6351,            0.025029,           0.0036277,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.023823,           0.0055175,                   0,             0.98531,             0.97233,             0.99364,             0.64454,            0.025122,           0.0034879,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.023605,           0.0056699,                   0,             0.97149,             0.98764,             0.99348,             0.63159,            0.025534,           0.0035611,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.022732,           0.0054734,                   0,             0.98073,             0.98355,             0.99283,             0.65195,            0.024995,           0.0035769,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.022525,           0.0050654,                   0,             0.98083,             0.98859,             0.99411,             0.65099,             0.02571,           0.0035914,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.021841,           0.0051967,                   0,             0.98541,             0.97895,             0.99296,             0.65033,            0.026308,           0.0037586,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.021599,           0.0052485,                   0,             0.99161,             0.98068,             0.99438,             0.64391,            0.025307,           0.0035982,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.02148,           0.0053482,                   0,             0.99507,             0.97509,             0.99408,             0.63835,            0.025313,           0.0035626,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.021502,            0.005373,                   0,             0.98543,             0.98031,             0.99323,             0.64573,            0.025236,           0.0036189,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.021479,            0.005223,                   0,             0.98552,             0.98618,             0.99451,             0.65611,            0.025249,           0.0035229,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.021667,           0.0053357,                   0,              0.9902,             0.97606,             0.99417,             0.64973,            0.025822,           0.0036791,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.020482,           0.0051664,                   0,             0.99512,              0.9847,             0.99447,              0.6351,            0.025332,           0.0036111,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.020347,           0.0050959,                   0,             0.99514,             0.98899,             0.99476,             0.64549,            0.025304,           0.0035744,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.020731,           0.0050956,                   0,             0.98875,             0.97585,             0.99368,             0.61645,            0.026723,           0.0036308,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.020711,           0.0052086,                   0,             0.97999,             0.99034,             0.99402,             0.62236,            0.026867,           0.0036021,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.020225,           0.0052357,                   0,             0.98659,             0.98551,             0.99456,             0.64201,            0.025882,           0.0035848,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.019917,           0.0050721,                   0,             0.98558,             0.99034,             0.99442,             0.62295,            0.026499,           0.0036419,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.019885,            0.004832,                   0,             0.98746,             0.98551,             0.99412,             0.63673,            0.026076,           0.0035952,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.020057,           0.0050408,                   0,             0.98556,             0.98949,             0.99451,             0.64514,            0.026108,           0.0036476,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.020515,            0.004822,                   0,             0.98016,             0.98551,             0.99385,             0.65137,            0.026159,           0.0036174,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.019476,           0.0050522,                   0,             0.97957,             0.99034,             0.99447,              0.6604,            0.025274,           0.0035728,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.01896,           0.0050143,                   0,             0.98389,             0.99034,             0.99456,              0.6499,            0.025281,           0.0036318,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.019806,            0.004739,                   0,             0.98025,             0.99034,             0.99376,             0.64868,            0.025651,           0.0036162,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.018977,           0.0049603,                   0,             0.97765,             0.98551,             0.99289,             0.63689,            0.025582,           0.0037219,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.01911,           0.0049406,                   0,             0.97907,             0.99034,             0.99352,             0.63403,            0.025711,           0.0037134,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.018501,           0.0047833,                   0,             0.97506,             0.99034,             0.99412,             0.63516,            0.026443,           0.0037006,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.018291,           0.0049498,                   0,             0.98067,             0.99034,             0.99411,             0.64009,            0.025469,           0.0036957,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.018232,           0.0046713,                   0,             0.99019,             0.97549,             0.99412,             0.63821,            0.025763,           0.0036805,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.018098,           0.0046631,                   0,              0.9715,             0.98816,             0.99378,             0.63329,            0.025807,           0.0036644,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.017517,           0.0048189,                   0,             0.97607,             0.98542,             0.99399,             0.64585,            0.025088,           0.0036855,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.018043,           0.0048764,                   0,             0.98909,             0.97585,             0.99413,             0.65528,             0.02536,           0.0036899,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.017238,           0.0046698,                   0,             0.98075,             0.98454,             0.99419,             0.65139,            0.025382,           0.0037454,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.017839,           0.0048171,                   0,             0.98949,             0.98068,             0.99424,             0.65129,            0.025404,           0.0037326,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.017569,           0.0047289,                   0,             0.98807,             0.97585,             0.99427,             0.64334,            0.025694,           0.0037314,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.017558,           0.0045498,                   0,             0.98769,             0.97101,             0.99404,             0.64619,              0.0254,           0.0036903,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.017054,           0.0048806,                   0,             0.98955,             0.98068,             0.99424,             0.64504,            0.025616,           0.0037004,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.017248,           0.0047522,                   0,             0.99021,             0.97764,             0.99427,             0.64809,            0.025472,           0.0036444,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.016892,           0.0044115,                   0,             0.98295,             0.98551,             0.99437,             0.65427,            0.025288,           0.0037063,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.016882,           0.0044578,                   0,             0.99024,             0.98058,             0.99432,             0.65949,            0.025055,            0.003668,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.016301,            0.004488,                   0,             0.98798,             0.98068,             0.99419,             0.65409,            0.025362,           0.0037163,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.015823,           0.0044248,                   0,             0.99024,             0.98067,             0.99419,             0.64137,            0.025588,            0.003768,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.016171,           0.0046703,                   0,             0.98927,             0.98551,             0.99448,             0.65295,            0.025254,           0.0037592,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.016489,           0.0047664,                   0,             0.98524,             0.98551,              0.9942,             0.65441,            0.025156,           0.0037533,                   0,            0.001585,            0.001585,            0.001585
                  87,             0.01592,           0.0045541,                   0,             0.98545,             0.98134,             0.99402,             0.65718,            0.025052,           0.0037031,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.01609,           0.0044921,                   0,             0.99258,             0.98068,             0.99433,             0.65001,            0.025258,           0.0037417,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.016135,           0.0043569,                   0,             0.98947,             0.98068,             0.99418,             0.64593,            0.025561,           0.0037873,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.015407,           0.0044569,                   0,             0.99024,             0.98066,             0.99418,             0.64439,            0.025734,           0.0037616,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.015776,           0.0044025,                   0,             0.98988,             0.98068,             0.99432,             0.65019,            0.025304,             0.00376,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.015559,            0.004489,                   0,             0.98763,             0.98551,             0.99452,             0.65128,            0.025737,           0.0037378,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.015196,           0.0043819,                   0,             0.98922,             0.98551,             0.99438,             0.65086,             0.02565,           0.0037819,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.015151,           0.0044048,                   0,             0.99028,             0.98445,             0.99428,             0.65306,            0.025495,           0.0038005,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.01497,           0.0043228,                   0,             0.99029,             0.98535,             0.99423,             0.65138,            0.025439,           0.0037981,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.015073,           0.0044671,                   0,             0.99028,              0.9848,             0.99423,             0.64695,            0.025458,           0.0038163,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.014722,            0.004039,                   0,             0.98623,             0.98068,             0.99423,             0.64988,            0.025463,           0.0038157,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.014821,           0.0045673,                   0,             0.98556,             0.98068,             0.99423,             0.64937,            0.025494,           0.0037739,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.015151,           0.0045018,                   0,             0.98635,             0.98068,             0.99423,             0.64812,            0.025499,           0.0037916,                   0,            0.000298,            0.000298,            0.000298
